energy,speed,acuity,Rate
10.0,0.0,0.0,100.0
9.840000000000018,0.01,0.0,100.0
9.36000000000007,0.02,0.0,100.0
8.559999999999981,0.03,0.0,100.0
7.439999999999946,0.04,0.0,100.0
6.000000000000041,0.05,0.0,100.0
4.2399999999999824,0.06,0.0,100.0
2.1599999999999753,0.07,0.0,100.0
-0.23999999999999583,0.08,0.0,100.0
-2.959999999999994,0.09,0.0,100.0
-6.000000000000012,0.1,0.0,100.0
-9.36,0.11,0.0,100.0
-13.039999999999997,0.12,0.0,100.0
-17.040000000000024,0.13,0.0,100.0
-21.360000000000053,0.14,0.0,100.0
-25.999999999999975,0.15,0.0,100.0
-30.960000000000026,0.16,0.0,100.0
-36.239999999999995,0.17,0.0,100.0
-41.83999999999998,0.18,0.0,100.0
-47.75999999999993,0.19,0.0,100.0
9.600000000000044,0.0,0.01,100.0
9.440000000000062,0.01,0.01,100.0
8.959999999999937,0.02,0.01,100.0
8.160000000000025,0.03,0.01,100.0
7.039999999999971,0.04,0.01,100.0
5.6000000000000005,0.05,0.01,100.0
3.839999999999969,0.06,0.01,100.0
1.7600000000000187,0.07,0.01,100.0
-0.6400000000000039,0.08,0.01,100.0
-3.3600000000000017,0.09,0.01,100.0
-6.399999999999991,0.1,0.01,100.0
-9.759999999999973,0.11,0.01,100.0
-13.440000000000023,0.12,0.01,100.0
-17.44,0.13,0.01,100.0
-21.76000000000001,0.14,0.01,100.0
-26.400000000000038,0.15,0.01,100.0
-31.359999999999967,0.16,0.01,100.0
-36.64000000000001,0.17,0.01,100.0
-42.23999999999998,0.18,0.01,100.0
-48.16000000000009,0.19,0.01,100.0
9.200000000000088,0.0,0.02,100.0
9.039999999999928,0.01,0.02,100.0
8.559999999999981,0.02,0.02,100.0
7.760000000000059,0.03,0.02,100.0
6.640000000000015,0.04,0.02,100.0
5.199999999999996,0.05,0.02,100.0
3.440000000000012,0.06,0.02,100.0
1.360000000000007,0.07,0.02,100.0
-1.040000000000013,0.08,0.02,100.0
-3.7600000000000073,0.09,0.02,100.0
-6.800000000000003,0.1,0.02,100.0
-10.159999999999982,0.11,0.02,100.0
-13.840000000000025,0.12,0.02,100.0
-17.840000000000003,0.13,0.02,100.0
-22.16000000000001,0.14,0.02,100.0
-26.799999999999972,0.15,0.02,100.0
-31.760000000000016,0.16,0.02,100.0
-37.04000000000002,0.17,0.02,100.0
-42.64000000000002,0.18,0.02,100.0
-48.55999999999997,0.19,0.02,100.0
8.799999999999955,0.0,0.03,100.0
8.639999999999972,0.01,0.03,100.0
8.160000000000025,0.02,0.03,100.0
7.359999999999958,0.03,0.03,100.0
6.240000000000017,0.04,0.03,100.0
4.80000000000004,0.05,0.03,100.0
3.0399999999999983,0.06,0.03,100.0
0.9599999999999964,0.07,0.03,100.0
-1.43999999999999,0.08,0.03,100.0
-4.160000000000014,0.09,0.03,100.0
-7.2,0.1,0.03,100.0
-10.560000000000027,0.11,0.03,100.0
-14.239999999999997,0.12,0.03,100.0
-18.240000000000023,0.13,0.03,100.0
-22.560000000000013,0.14,0.03,100.0
-27.199999999999992,0.15,0.03,100.0
-32.160000000000046,0.16,0.03,100.0
-37.44,0.17,0.03,100.0
-43.04000000000001,0.18,0.03,100.0
-48.95999999999995,0.19,0.03,100.0
8.399999999999999,0.0,0.04,100.0
8.240000000000016,0.01,0.04,100.0
7.760000000000059,0.02,0.04,100.0
6.9599999999999795,0.03,0.04,100.0
5.839999999999971,0.04,0.04,100.0
4.400000000000026,0.05,0.04,100.0
2.6399999999999872,0.06,0.04,100.0
0.5599999999999867,0.07,0.04,100.0
-1.8399999999999987,0.08,0.04,100.0
-4.559999999999996,0.09,0.04,100.0
-7.600000000000014,0.1,0.04,100.0
-10.96,0.11,0.04,100.0
-14.639999999999995,0.12,0.04,100.0
-18.64000000000003,0.13,0.04,100.0
-22.959999999999965,0.14,0.04,100.0
-27.600000000000026,0.15,0.04,100.0
-32.55999999999997,0.16,0.04,100.0
-37.84000000000003,0.17,0.04,100.0
-43.43999999999999,0.18,0.04,100.0
-49.360000000000035,0.19,0.04,100.0
8.000000000000043,0.0,0.05,100.0
7.840000000000053,0.01,0.05,100.0
7.359999999999958,0.02,0.05,100.0
6.560000000000024,0.03,0.05,100.0
5.439999999999969,0.04,0.05,100.0
4.00000000000001,0.05,0.05,100.0
2.2399999999999767,0.06,0.05,100.0
0.1600000000000137,0.07,0.05,100.0
-2.2400000000000055,0.08,0.05,100.0
-4.960000000000005,0.09,0.05,100.0
-7.99999999999999,0.1,0.05,100.0
-11.359999999999975,0.11,0.05,100.0
-15.040000000000028,0.12,0.05,100.0
-19.04000000000002,0.13,0.05,100.0
-23.360000000000046,0.14,0.05,100.0
-27.999999999999986,0.15,0.05,100.0
-32.960000000000036,0.16,0.05,100.0
-38.23999999999993,0.17,0.05,100.0
-43.84000000000003,0.18,0.05,100.0
-49.76,0.19,0.05,100.0
7.600000000000072,0.0,0.06,100.0
7.439999999999946,0.01,0.06,100.0
6.9599999999999795,0.02,0.06,100.0
6.160000000000025,0.03,0.06,100.0
5.040000000000013,0.04,0.06,100.0
3.5999999999999943,0.05,0.06,100.0
1.8400000000000105,0.06,0.06,100.0
-0.23999999999999583,0.07,0.06,100.0
-2.640000000000012,0.08,0.06,100.0
-5.360000000000008,0.09,0.06,100.0
-8.400000000000004,0.1,0.06,100.0
-11.760000000000023,0.11,0.06,100.0
-15.440000000000026,0.12,0.06,100.0
-19.43999999999997,0.13,0.06,100.0
-23.75999999999997,0.14,0.06,100.0
-28.400000000000023,0.15,0.06,100.0
