energy,speed,acuity,Rate
0.0,0.0,0.0,100.0
-1.6000000000000294,0.01,0.0,100.0
-6.400000000000118,0.02,0.0,100.0
-14.40000000000016,0.03,0.0,100.0
-25.60000000000047,0.04,0.0,100.0
-39.999999999999325,0.05,0.0,100.0
-57.60000000000064,0.06,0.0,100.0
-78.40000000000093,0.07,0.0,100.0
-102.40000000000188,0.08,0.0,100.0
-129.5999999999992,0.09,0.0,100.0
-159.9999999999973,0.1,0.0,100.0
-193.60000000000295,0.11,0.0,100.0
-230.40000000000256,0.12,0.0,100.0
-270.39999999999645,0.13,0.0,100.0
-313.6000000000037,0.14,0.0,100.0
-360.0000000000086,0.15,0.0,100.0
-409.6000000000075,0.16,0.0,100.0
-462.40000000000214,0.17,0.0,100.0
-518.3999999999968,0.18,0.0,100.0
-577.6000000000016,0.19,0.0,100.0
-4.000000000000003,0.0,0.01,100.0
-2.599999999999906,0.01,0.01,100.0
-8.39999999999993,0.02,0.01,100.0
-13.399999999999842,0.03,0.01,100.0
-21.59999999999979,0.04,0.01,100.0
-33.00000000000022,0.05,0.01,100.0
-48.59999999999907,0.06,0.01,100.0
-69.40000000000029,0.07,0.01,100.0
-87.39999999999907,0.08,0.01,100.0
-116.60000000000109,0.09,0.01,100.0
-140.00000000000017,0.1,0.01,100.0
-182.59999999999656,0.11,0.01,100.0
-214.3999999999958,0.12,0.01,100.0
-261.40000000000714,0.13,0.01,100.0
-283.6000000000016,0.14,0.01,100.0
-330.9999999999969,0.15,0.01,100.0
-384.5999999999925,0.16,0.01,100.0
-441.40000000000606,0.17,0.01,100.0
-491.40000000000384,0.18,0.01,100.0
-554.5999999999912,0.19,0.01,100.0
-8.000000000000005,0.0,0.02,100.0
-3.5999999999998753,0.01,0.02,100.0
-12.40000000000013,0.02,0.02,100.0
-10.400000000000071,0.03,0.02,100.0
-20.599999999999884,0.04,0.02,100.0
-25.999999999999584,0.05,0.02,100.0
-32.60000000000005,0.06,0.02,100.0
-56.39999999999926,0.07,0.02,100.0
-73.39999999999876,0.08,0.02,100.0
-103.60000000000196,0.09,0.02,100.0
-131.00000000000296,0.1,0.02,100.0
-157.6000000000016,0.11,0.02,100.0
-187.40000000000333,0.12,0.02,100.0
-213.40000000000316,0.13,0.02,100.0
-266.5999999999958,0.14,0.02,100.0
-320.9999999999962,0.15,0.02,100.0
-352.59999999999445,0.16,0.02,100.0
-410.3999999999976,0.17,0.02,100.0
-468.4000000000088,0.18,0.02,100.0
-521.5999999999996,0.19,0.02,100.0
-12.00000000000001,0.0,0.03,100.0
-4.600000000000069,0.01,0.03,100.0
-7.400000000000022,0.02,0.03,100.0
-8.400000000000034,0.03,0.03,100.0
-17.59999999999989,0.04,0.03,100.0
-24.999999999999705,0.05,0.03,100.0
-35.60000000000052,0.06,0.03,100.0
-54.40000000000048,0.07,0.03,100.0
-70.40000000000187,0.08,0.03,100.0
-85.59999999999818,0.09,0.03,100.0
-112.99999999999818,0.1,0.03,100.0
-140.60000000000133,0.11,0.03,100.0
-177.40000000000285,0.12,0.03,100.0
-206.39999999999728,0.13,0.03,100.0
-246.60000000000315,0.14,0.03,100.0
-284.0000000000077,0.15,0.03,100.0
-334.6000000000068,0.16,0.03,100.0
-364.4000000000025,0.17,0.03,100.0
