meals,speed,acuity,Rate
0,0.0,0.0,100.0
0,0.01,0.0,100.0
0,0.02,0.0,100.0
0,0.03,0.0,100.0
0,0.04,0.0,100.0
0,0.05,0.0,100.0
0,0.06,0.0,100.0
0,0.07,0.0,100.0
0,0.08,0.0,100.0
0,0.09,0.0,100.0
0,0.1,0.0,100.0
0,0.11,0.0,100.0
0,0.12,0.0,100.0
0,0.13,0.0,100.0
0,0.14,0.0,100.0
0,0.15,0.0,100.0
0,0.16,0.0,100.0
0,0.17,0.0,100.0
0,0.18,0.0,100.0
0,0.19,0.0,100.0
0,0.0,0.01,100.0
2,0.01,0.01,100.0
4,0.02,0.01,100.0
4,0.03,0.01,100.0
8,0.04,0.01,100.0
15,0.05,0.01,100.0
15,0.06,0.01,100.0
11,0.07,0.01,100.0
18,0.08,0.01,100.0
22,0.09,0.01,100.0
19,0.1,0.01,100.0
11,0.11,0.01,100.0
19,0.12,0.01,100.0
25,0.13,0.01,100.0
27,0.14,0.01,100.0
26,0.15,0.01,100.0
27,0.16,0.01,100.0
29,0.17,0.01,100.0
25,0.18,0.01,100.0
24,0.19,0.01,100.0
0,0.0,0.02,100.0
4,0.01,0.02,100.0
11,0.02,0.02,100.0
14,0.03,0.02,100.0
16,0.04,0.02,100.0
17,0.05,0.02,100.0
22,0.06,0.02,100.0
21,0.07,0.02,100.0
30,0.08,0.02,100.0
38,0.09,0.02,100.0
40,0.1,0.02,100.0
56,0.11,0.02,100.0
41,0.12,0.02,100.0
53,0.13,0.02,100.0
50,0.14,0.02,100.0
57,0.15,0.02,100.0
55,0.16,0.02,100.0
70,0.17,0.02,100.0
72,0.18,0.02,100.0
76,0.19,0.02,100.0
0,0.0,0.03,100.0
3,0.01,0.03,100.0
13,0.02,0.03,100.0
18,0.03,0.03,100.0
17,0.04,0.03,100.0
29,0.05,0.03,100.0
44,0.06,0.03,100.0
37,0.07,0.03,100.0
41,0.08,0.03,100.0
46,0.09,0.03,100.0
62,0.1,0.03,100.0
54,0.11,0.03,100.0
79,0.12,0.03,100.0
72,0.13,0.03,100.0
57,0.14,0.03,100.0
88,0.15,0.03,100.0
89,0.16,0.03,100.0
116,0.17,0.03,100.0
128,0.18,0.03,100.0
86,0.19,0.03,100.0
0,0.0,0.04,100.0
5,0.01,0.04,100.0
23,0.02,0.04,100.0
28,0.03,0.04,100.0
22,0.04,0.04,100.0
45,0.05,0.04,100.0
32,0.06,0.04,100.0
66,0.07,0.04,100.0
52,0.08,0.04,100.0
72,0.09,0.04,100.0
94,0.1,0.04,100.0
83,0.11,0.04,100.0
83,0.12,0.04,100.0
87,0.13,0.04,100.0
135,0.14,0.04,100.0
123,0.15,0.04,100.0
117,0.16,0.04,100.0
121,0.17,0.04,100.0
145,0.18,0.04,100.0
141,0.19,0.04,100.0
0,0.0,0.05,100.0
14,0.01,0.05,100.0
23,0.02,0.05,100.0
32,0.03,0.05,100.0
38,0.04,0.05,100.0
49,0.05,0.05,100.0
63,0.06,0.05,100.0
85,0.07,0.05,100.0
58,0.08,0.05,100.0
100,0.09,0.05,100.0
81,0.1,0.05,100.0
102,0.11,0.05,100.0
116,0.12,0.05,100.0
114,0.13,0.05,100.0
133,0.14,0.05,100.0
123,0.15,0.05,100.0
153,0.16,0.05,100.0
164,0.17,0.05,100.0
158,0.18,0.05,100.0
190,0.19,0.05,100.0
0,0.0,0.06,100.0
7,0.01,0.06,100.0
25,0.02,0.06,100.0
38,0.03,0.06,100.0
30,0.04,0.06,100.0
49,0.05,0.06,100.0
75,0.06,0.06,100.0
86,0.07,0.06,100.0
91,0.08,0.06,100.0
90,0.09,0.06,100.0
103,0.1,0.06,100.0
114,0.11,0.06,100.0
139,0.12,0.06,100.0
150,0.13,0.06,100.0
163,0.14,0.06,100.0
155,0.15,0.06,100.0
181,0.16,0.06,100.0
179,0.17,0.06,100.0
178,0.18,0.06,100.0
196,0.19,0.06,100.0
0,0.0,0.07,100.0
11,0.01,0.07,100.0
30,0.02,0.07,100.0
35,0.03,0.07,100.0
54,0.04,0.07,100.0
66,0.05,0.07,100.0
90,0.06,0.07,100.0
87,0.07,0.07,100.0
108,0.08,0.07,100.0
130,0.09,0.07,100.0
110,0.1,0.07,100.0
139,0.11,0.07,100.0
112,0.12,0.07,100.0
164,0.13,0.07,100.0
183,0.14,0.07,100.0
179,0.15,0.07,100.0
209,0.16,0.07,100.0
206,0.17,0.07,100.0
216,0.18,0.07,100.0
227,0.19,0.07,100.0
0,0.0,0.08,100.0
14,0.01,0.08,100.0
28,0.02,0.08,100.0
40,0.03,0.08,100.0
67,0.04,0.08,100.0
70,0.05,0.08,100.0
80,0.06,0.08,100.0
98,0.07,0.08,100.0
108,0.08,0.08,100.0
135,0.09,0.08,100.0
126,0.1,0.08,100.0
156,0.11,0.08,100.0
163,0.12,0.08,100.0
173,0.13,0.08,100.0
169,0.14,0.08,100.0
185,0.15,0.08,100.0
224,0.16,0.08,100.0
229,0.17,0.08,100.0
234,0.18,0.08,100.0
260,0.19,0.08,100.0
0,0.0,0.09,100.0
15,0.01,0.09,100.0
25,0.02,0.09,100.0
40,0.03,0.09,100.0
64,0.04,0.09,100.0
78,0.05,0.09,100.0
90,0.06,0.09,100.0
78,0.07,0.09,100.0
120,0.08,0.09,100.0
115,0.09,0.09,100.0
