speed,acuity,population
0.01,0.01,1689
0.02,0.01,1188
0.03,0.01,776
0.04,0.01,546
0.05,0.01,391
0.060000000000000005,0.01,288
0.06999999999999999,0.01,209
0.08,0.01,186
0.09,0.01,153
0.01,0.02,1112
0.02,0.02,934
0.03,0.02,673
0.04,0.02,447
0.05,0.02,361
0.060000000000000005,0.02,276
0.06999999999999999,0.02,203
0.08,0.02,161
0.09,0.02,134
0.01,0.03,542
0.02,0.03,434
0.03,0.03,427
0.04,0.03,421
0.05,0.03,333
0.060000000000000005,0.03,272
0.06999999999999999,0.03,201
0.08,0.03,163
0.09,0.03,150
0.01,0.04,392
0.02,0.04,324
0.03,0.04,288
0.04,0.04,217
0.05,0.04,154
0.060000000000000005,0.04,118
0.06999999999999999,0.04,110
0.08,0.04,93
0.09,0.04,72
0.01,0.05,369
0.02,0.05,292
0.03,0.05,237
0.04,0.05,152
0.05,0.05,152
0.060000000000000005,0.05,131
0.06999999999999999,0.05,110
0.08,0.05,87
0.09,0.05,91
0.01,0.060000000000000005,309
0.02,0.060000000000000005,271
0.03,0.060000000000000005,217
0.04,0.060000000000000005,184
0.05,0.060000000000000005,113
0.060000000000000005,0.060000000000000005,130
0.06999999999999999,0.060000000000000005,96
0.08,0.060000000000000005,91
0.09,0.060000000000000005,69
0.01,0.06999999999999999,271
0.02,0.06999999999999999,228
0.03,0.06999999999999999,187
0.04,0.06999999999999999,166
0.05,0.06999999999999999,145
0.060000000000000005,0.06999999999999999,101
0.06999999999999999,0.06999999999999999,99
0.08,0.06999999999999999,75
0.09,0.06999999999999999,69
0.01,0.08,240
0.02,0.08,200
0.03,0.08,223
0.04,0.08,119
0.05,0.08,162
0.060000000000000005,0.08,117
0.06999999999999999,0.08,91
0.08,0.08,91
0.09,0.08,87
0.01,0.09,217
0.02,0.09,197
0.03,0.09,180
0.04,0.09,149
0.05,0.09,98
0.060000000000000005,0.09,102
0.06999999999999999,0.09,105
0.08,0.09,81
0.09,0.09,83
