lambda,f,species,speed,acuity
12.5,16.0,SlothAgent,0.19790923230607765,0.05512631950472501
12.5,16.0,SlothAgent,0.19472188691416975,0.05036808409416636
12.5,16.0,SlothAgent,0.19582121918433734,0.04738033969309653
12.5,16.0,SlothAgent,0.19210906829472515,0.048465810836858206
12.5,16.0,SlothAgent,0.19314312582594423,0.04853313511336309
12.5,16.0,SlothAgent,0.1918750061615695,0.04746457594231001
12.5,16.0,SlothAgent,0.1921843436913197,0.04554674308990015
12.5,16.0,SlothAgent,0.19082868472267245,0.04787244608485726
12.5,16.0,SlothAgent,0.23127668228874954,0.12679627003040891
12.5,16.0,SlothAgent,0.23262078572478437,0.12912959700899967
12.5,16.0,SlothAgent,0.2179641888120127,0.08673018767385712
12.5,16.0,SlothAgent,0.22223941708117487,0.08023008912237582
12.5,16.0,SlothAgent,0.2229594731386442,0.08425595679531152
12.5,16.0,SlothAgent,0.21714072400051224,0.09143294862566483
12.5,16.0,SlothAgent,0.22402464375696782,0.08607667457363138
12.5,16.0,SlothAgent,0.2211537799916886,0.08493417306755592
12.5,16.0,SlothAgent,0.225759707983667,0.08234425575041893
12.5,16.0,SlothAgent,0.22523400385783635,0.08168103252763813
12.5,16.0,SlothAgent,0.22916382859013826,0.08427855324121726
12.5,16.0,SlothAgent,0.22839987752234336,0.07983566710208914
12.5,16.0,SlothAgent,0.2270452631158357,0.08342433726547002
12.5,16.0,SlothAgent,0.09514247467791803,0.0516450346439938
12.5,16.0,SlothAgent,0.10045578771972218,0.05190938130059787
12.5,16.0,SlothAgent,0.10286436545826197,0.06010456027852718
12.5,16.0,SlothAgent,0.10395111857662263,0.05790383236132228
12.5,16.0,SlothAgent,0.10763089678760013,0.059708527462465445
12.5,16.0,SlothAgent,0.10530243886287079,0.058431718242959084
12.5,16.0,SlothAgent,0.10060384406563781,0.05800365765709267
12.5,16.0,SlothAgent,0.10401622230702848,0.05388222498015416
12.5,16.0,Agent,0.04825267694591611,0.06842517776441018
12.5,16.0,Agent,0.0516520895427764,0.06832292624489844
12.5,16.0,Agent,0.05015325774676162,0.07143183872335378
12.5,16.0,Agent,0.041114910700914234,0.08200310035726484
12.5,16.0,Agent,0.04083080648983156,0.079699859864611
12.5,16.0,Agent,0.04481853440451218,0.07432443977953605
12.5,16.0,TurtleAgent,0.057245679503508735,0.04303219802159922
12.5,16.0,TurtleAgent,0.05325498025171962,0.045805250269877
12.5,16.0,TurtleAgent,0.05286951707554038,0.04705534710533112
12.5,16.0,TurtleAgent,0.055484649060088716,0.05115105197869933
12.5,16.0,TurtleAgent,0.060951229498221786,0.04837393038408142
12.5,16.0,TurtleAgent,0.05816632946422147,0.05068541936969917
12.5,16.0,TurtleAgent,0.05845534394025726,0.05036066675700709
12.5,16.0,TurtleAgent,0.05773499244212055,0.05015400335198479
12.5,16.0,TurtleAgent,0.058300227115289295,0.0489087586124083
12.5,16.0,SlothAgent,0.22642794275411968,0.16885487305739963
12.5,16.0,SlothAgent,0.22548368589150072,0.17191938089271197
12.5,16.0,SlothAgent,0.22908363128070794,0.1660007498842821
12.5,16.0,SlothAgent,0.2282372634191779,0.16602182901182397
12.5,16.0,SlothAgent,0.22499552758302174,0.16667702446122243
12.5,16.0,SlothAgent,0.2203502015274698,0.16621709435356036
12.5,16.0,SlothAgent,0.22501551631288022,0.1655722691919441
12.5,16.0,SlothAgent,0.2256307858084112,0.16557729269761762
12.5,16.0,SlothAgent,0.22404492862828335,0.1663355558964161
12.5,16.0,SlothAgent,0.22228076884641393,0.16683231883437513
12.5,16.0,SlothAgent,0.228526825581499,0.16507076930765216
12.5,16.0,SlothAgent,0.2233909251725787,0.16672785475400728
12.5,16.0,SlothAgent,0.22409142094313678,0.1673330167713063
12.5,16.0,SlothAgent,0.2238705636728704,0.15235999953454368
12.5,16.0,SlothAgent,0.2243144342024229,0.14704039122367432
12.5,16.0,SlothAgent,0.22296867164674763,0.1504392439915771
12.5,16.0,SlothAgent,0.22535427394503318,0.150758343400293
12.5,16.0,SlothAgent,0.22332364964276608,0.15058649985932726
12.5,16.0,SlothAgent,0.22301773171092168,0.15215682712742634
12.5,16.0,SlothAgent,0.22356640710549258,0.15313662032085754
12.5,16.0,SlothAgent,0.2254905708054377,0.15164176115887168
12.5,16.0,SlothAgent,0.2261436610145438,0.1513117232447692
12.5,16.0,SlothAgent,0.2254026978194699,0.15264248907192626
12.5,16.0,SlothAgent,0.22978153639632518,0.1468241719829288
12.5,16.0,SlothAgent,0.22840882477614752,0.15169502795531367
12.5,16.0,SlothAgent,0.22817927758270923,0.15138232721003267
12.5,16.0,SlothAgent,0.2333040821914946,0.14958202899671708
12.5,16.0,SlothAgent,0.2299498145241999,0.15049839228083664
12.5,16.0,Agent,0.12363202770465774,0.1189664991338645
12.5,16.0,Agent,0.12371097905791356,0.12044125990388768
12.5,16.0,Agent,0.12387038677141457,0.11962340499736634
12.5,16.0,Agent,0.12666792965085844,0.11803734355200962
12.5,16.0,Agent,0.12483041249880211,0.11882533469583875
12.5,16.0,Agent,0.11650687927714337,0.12013083937089342
12.5,16.0,Agent,0.12283745769873444,0.11540283907425682
12.5,16.0,Agent,0.11910843058084011,0.11366692523709696
12.5,16.0,Agent,0.11939668775099917,0.11295684113731756
12.5,16.0,Agent,0.13196445262124729,0.105614299987329
12.5,16.0,Agent,0.13297446773766175,0.10327087757895391
12.5,16.0,Agent,0.13771562225263312,0.0933615265085651
12.5,16.0,Agent,0.13548589405939135,0.0943841626635451
12.5,16.0,Agent,0.13511487282758042,0.09879074268381782
12.5,16.0,Agent,0.13876624522171563,0.10193123556370355
12.5,16.0,Agent,0.13596593439992816,0.09920478093654929
12.5,16.0,Agent,0.1277930148335082,0.11331858444124364
12.5,16.0,Agent,0.1270296341132106,0.11047213903164943
12.5,16.0,Agent,0.13548427922348136,0.11377447764366753
12.5,16.0,Agent,0.13490412539938054,0.11078019101233479
12.5,16.0,Agent,0.13093670974526897,0.10927672654888686
12.5,16.0,Agent,0.13919679472336857,0.11562164603984497
12.5,16.0,Agent,0.13723962281692317,0.11901966975796649
12.5,16.0,Agent,0.13177394884938373,0.12302060463628275
12.5,16.0,Agent,0.13354930799733594,0.11757488753359896
12.5,16.0,Agent,0.1366463029514343,0.11580743029203923
12.5,16.0,Agent,0.13852326896904324,0.11271276505175377
12.5,16.0,Agent,0.14139098759031962,0.10602275414035309
12.5,16.0,Agent,0.13845805966965352,0.1118898363616487
12.5,16.0,Agent,0.1308655041130392,0.10572010336302021
12.5,16.0,Agent,0.13231671219282762,0.10584120234314641
12.5,16.0,Agent,0.1320830073112874,0.10863395941951981
12.5,16.0,Agent,0.13342242888255776,0.10946068917051238
12.5,16.0,Agent,0.1361123604566825,0.10843424488352774
12.5,16.0,Agent,0.13789689547084613,0.1094027864632515
12.5,16.0,Agent,0.10092366083715355,0.11373212862614272
12.5,16.0,Agent,0.10863878453213968,0.11044266968142721
12.5,16.0,Agent,0.10437993764041074,0.11097231238955645
12.5,16.0,Agent,0.10664668653681011,0.11261443530650884
12.5,16.0,Agent,0.11188914456438245,0.11595369247890779
12.5,16.0,Agent,0.11120874393085654,0.11518577053416834
12.5,16.0,Agent,0.1079031246709891,0.11914468492201157
12.5,16.0,Agent,0.10941323949734551,0.11596507814861132
12.5,16.0,Agent,0.1106936811868237,0.11745995647035805
12.5,16.0,Agent,0.10713649203507905,0.11620581118667124
12.5,16.0,Agent,0.1066030926941717,0.11375349360807809
12.5,16.0,SlothAgent,0.12108185868156017,0.05422238904098581
12.5,16.0,SlothAgent,0.12042161002855344,0.0594848392581393
12.5,16.0,SlothAgent,0.1920456588313683,0.07507738591125597
12.5,16.0,SlothAgent,0.1935767297821666,0.07737154743652853
12.5,16.0,SlothAgent,0.19493160977235185,0.08044306514853512
12.5,16.0,SlothAgent,0.1922895056102316,0.07930209889658521
12.5,16.0,SlothAgent,0.21187635709317323,0.06286357411610399
12.5,16.0,SlothAgent,0.21262409934982007,0.06588419793778737
12.5,16.0,SlothAgent,0.20591990754628517,0.05077736959585474
12.5,16.0,SlothAgent,0.2075732396410777,0.04953544494643103
12.5,16.0,SlothAgent,0.20506832495212948,0.051807821874006774
12.5,16.0,SlothAgent,0.2010861007660173,0.07615900347321841
12.5,16.0,SlothAgent,0.20201617189196658,0.07631680968996378
12.5,16.0,SlothAgent,0.20193550362382018,0.07602954669914147
12.5,16.0,SlothAgent,0.197144133252029,0.07207441291678987
12.5,16.0,SlothAgent,0.20119779110883618,0.07561288380487725
12.5,16.0,SlothAgent,0.09420883683624454,0.03921215713282626
12.5,16.0,SlothAgent,0.09861629835989054,0.04414381500160041
12.5,16.0,SlothAgent,0.09969298378332835,0.04284005552239744
12.5,16.0,SlothAgent,0.09874662012700633,0.040708120843127055
12.5,16.0,TurtleAgent,0.040796337432968816,0.04511634460680974
12.5,16.0,TurtleAgent,0.04357578098210645,0.04759977277639555
12.5,16.0,TurtleAgent,0.0405004101211001,0.04838683305258772
12.5,16.0,TurtleAgent,0.04210997363020453,0.0475220529112835
12.5,16.0,TurtleAgent,0.04595630771888244,0.04956862780947324
12.5,16.0,TurtleAgent,0.04585731702501628,0.04911514771124297
12.5,16.0,TurtleAgent,0.04319412718140704,0.05637512904015023
12.5,16.0,TurtleAgent,0.045984017625017526,0.052493257406916224
12.5,16.0,TurtleAgent,0.04208558506170386,0.05282251096060005
12.5,16.0,TurtleAgent,0.04446775334471382,0.05102960929451447
12.5,16.0,TurtleAgent,0.04561634217698297,0.05104651150964079
12.5,16.0,TurtleAgent,0.0434922712326583,0.05495728197631581
12.5,16.0,SlothAgent,0.1671979928021624,0.07446717055403212
12.5,16.0,SlothAgent,0.16969762155562154,0.06928896493305044
12.5,16.0,SlothAgent,0.16782946983223704,0.07464688853716023
12.5,16.0,SlothAgent,0.16707673332815057,0.0845718482633248
12.5,16.0,SlothAgent,0.16934557965130131,0.08336177318223237
12.5,16.0,SlothAgent,0.179458356177737,0.07461836246206834
12.5,16.0,SlothAgent,0.17469719805529738,0.08257036089857528
12.5,16.0,SlothAgent,0.17760151936970706,0.09921237476155974
12.5,16.0,SlothAgent,0.18243420971714663,0.09273185826799517
12.5,16.0,SlothAgent,0.1782009400778645,0.0935221218959424
12.5,16.0,SlothAgent,0.17754379998907605,0.09285847209057588
12.5,16.0,SlothAgent,0.1732147197902542,0.08763903457050264
12.5,16.0,SlothAgent,0.17568927047357663,0.0874043509927989
12.5,16.0,SlothAgent,0.17533547821951526,0.08927055492626272
12.5,16.0,SlothAgent,0.17647422943997593,0.08854598811204697
12.5,16.0,SlothAgent,0.17844286559335967,0.08330322850999873
12.5,16.0,RaptorAgent,0.0631403005630748,0.06263253676815628
12.5,16.0,RaptorAgent,0.06227194896172939,0.06398777860733891
12.5,16.0,RaptorAgent,0.060692675438137236,0.06994738780567297
12.5,16.0,RaptorAgent,0.06236960518102797,0.06993890760229612
12.5,16.0,RaptorAgent,0.06039334713972996,0.0673768933998496
12.5,16.0,RaptorAgent,0.06250680275248592,0.06793813467884413
12.5,16.0,RaptorAgent,0.06071408598178961,0.0648907735559726
12.5,16.0,RaptorAgent,0.0651923981877166,0.06481277286729287
12.5,16.0,RaptorAgent,0.0665856463739509,0.06337403652380018
12.5,16.0,RaptorAgent,0.059288718205656565,0.09144482517344729
12.5,16.0,RaptorAgent,0.06193766804868966,0.08685391908071526
12.5,16.0,RaptorAgent,0.067362916727777,0.09309705219001933
12.5,16.0,RaptorAgent,0.0670523536808967,0.0907205451466742
12.5,16.0,RaptorAgent,0.06484266974156136,0.0903439224705317
12.5,16.0,RaptorAgent,0.0638141039419721,0.08867182305540633
12.5,16.0,RaptorAgent,0.06080704919988006,0.0884562943163399
12.5,16.0,RaptorAgent,0.06612498758968521,0.09129567855235107
12.5,16.0,RaptorAgent,0.06242106737194678,0.0927906323319994
12.5,16.0,RaptorAgent,0.06447412102474835,0.08763350743043538
12.5,16.0,RaptorAgent,0.061085780717603386,0.08988298726351754
12.5,16.0,RaptorAgent,0.05817876107801916,0.08935176012437877
12.5,16.0,RaptorAgent,0.056798983969061204,0.09173599479378494
12.5,16.0,RaptorAgent,0.06072467969363928,0.09296123690673867
12.5,16.0,RaptorAgent,0.05481598314792996,0.09665011404285463
12.5,16.0,RaptorAgent,0.06090647786761215,0.0979397165966253
12.5,16.0,RaptorAgent,0.05798244569697282,0.09841828983221895
12.5,16.0,RaptorAgent,0.05661838564601622,0.0992297820326024
12.5,16.0,RaptorAgent,0.05940243307893194,0.09884874155258777
12.5,16.0,RaptorAgent,0.06405039301505158,0.09315238868137343
12.5,16.0,RaptorAgent,0.05793173011895119,0.09891227494518087
12.5,16.0,RaptorAgent,0.064131182015531,0.0952828032648241
12.5,16.0,RaptorAgent,0.06253111986839671,0.09489802002228921
12.5,16.0,RaptorAgent,0.06293417384082378,0.08970365757208315
12.5,16.0,RaptorAgent,0.06531108524387554,0.10015644305676623
12.5,16.0,RaptorAgent,0.06483775804312257,0.09279161909007204
12.5,16.0,RaptorAgent,0.06155586242778883,0.08931952557452973
12.5,16.0,RaptorAgent,0.06137945718422172,0.09392516485593837
12.5,16.0,RaptorAgent,0.07861247089193775,0.0814614634228904
12.5,16.0,RaptorAgent,0.07699342717704821,0.08182703038045325
12.5,16.0,RaptorAgent,0.0782103475522247,0.08399477795584108
12.5,16.0,RaptorAgent,0.07579216169450767,0.08635908813105163
12.5,16.0,RaptorAgent,0.07793335088456174,0.08627018871161589
12.5,16.0,RaptorAgent,0.07635825828578582,0.0892735294074688
12.5,16.0,RaptorAgent,0.0762789593450283,0.08996609246586931
12.5,16.0,RaptorAgent,0.07532896877581179,0.08856820221349247
12.5,16.0,RaptorAgent,0.08790106719037179,0.09464116663436604
12.5,16.0,RaptorAgent,0.08747991065651828,0.09472361265276497
12.5,16.0,RaptorAgent,0.0857399384637578,0.09578928809064069
12.5,16.0,RaptorAgent,0.08379952599222805,0.09368049795771077
12.5,16.0,RaptorAgent,0.08026335957529544,0.09083408877446707
12.5,16.0,RaptorAgent,0.07849841674568675,0.09292772801829693
12.5,16.0,RaptorAgent,0.07751577749513724,0.09225932098996134
12.5,16.0,RaptorAgent,0.0779657938724737,0.08745045257078318
12.5,16.0,RaptorAgent,0.08844930054295698,0.09403341087298658
12.5,16.0,RaptorAgent,0.0844074470643971,0.10235656810818555
12.5,16.0,RaptorAgent,0.08790654499266778,0.10089395845264876
12.5,16.0,RaptorAgent,0.0854504559352329,0.09392698633439714
12.5,16.0,RaptorAgent,0.08796674242728504,0.09540613737551294
12.5,16.0,RaptorAgent,0.07503674226203134,0.09209799588581513
12.5,16.0,RaptorAgent,0.0752561667061065,0.09198839891518576
